,Tweets,Subjectivity,Polarity,Analysis
11,"India needs to stand together and help our people. 

We have launched ‘Hello Doctor’ a medical advisory helpline. Please call +919983836838 for medical advice.

Dear Dr’s &amp; mental health professionals, we need your help. Please enroll on https://t.co/KbNzoy1PUa",0.06666666666666667,-0.03333333333333333,Negative
12,"Best wishes on #LabourDay 

Our gratitude &amp; respect to the workers &amp; labourers who are the backbone of any society. 

The nation is &amp; will always be indebted to you. https://t.co/2gnS3xg3MN",0.3,1.0,Positive
13,"कोविड की दूसरी लहर
का चौथा सप्ताह 
2 लाख से ज़्यादा मृतक
जवाबदेही ज़ीरो

कर दिया सिस्टम ने ‘आत्मनिर्भर’!",0.0,0.0,Neutral
14,"इलाज की कमी के चलते अपने प्रियजन खो रहे देशवासियों को मेरी संवेदनाएँ। 

इस त्रासदी में आप अकेले नहीं हैं- देश के हर राज्य से प्रार्थना व सहानुभूति आपके साथ है।

साथ हैं तो आस है।",0.0,0.0,Neutral
15,"जो भरा नहीं है भावों से,
जो दर्द सुनने को तैयार नहीं,
वह हृदय नहीं है पत्थर है,
जिस ‘सिस्टम’ को जन से प्यार नहीं!",0.0,0.0,Neutral
16,"free /friː/
adjective, adverb

costing nothing, or not needing to be paid for. e.g.-
 • India must get free COVID vaccine. 
 • All citizens must receive the inoculation free of charge. 

Let’s hope they get it this time. 

#vaccine",0.8000000000000002,0.4000000000000001,Positive
17,"The untimely demise of Malappuram DCC President &amp; UDF Nilambur candidate V V Prakash Ji is extremely tragic. 

He will be remembered as an honest &amp; hardworking member of the Congress, always ready to offer help to the people.

My heartfelt condolences to his family. https://t.co/LugPBIROKP",0.7875,0.012499999999999997,Positive
18,"People's money was given to vaccine companies to develop Covid vaccines. 

Now, GOI will make same people pay the highest price in the world for these vaccines.

Once again, the failed ‘system’ fails our citizens for Modi-mitrs’ profit. https://t.co/3TELXqmZwK",0.24166666666666667,-0.3333333333333333,Negative
19,"Central Vista- not essential.

Central Govt with a vision- essential.",0.275,0.0,Neutral
20,"एक दूसरे की सहायता करते आम जन दिखाते हैं कि किसी का दिल छूने के लिए हाथ छूने की ज़रूरत नहीं।

मदद का हाथ बढ़ाते चलो
इस अंधे ‘सिस्टम’ का सच दिखाते चलो!

#TogetherStronger",0.0,0.0,Neutral
21,"“The Modi government must realise that the battle is against Covid, it is not against the Congress or other political opponents.” https://t.co/BNQGDLpkru",0.2375,-0.0625,Negative
22,सभी को हनुमान जयंती की शुभकामनाएँ! https://t.co/tLhBdjR6Uu,0.0,0.0,Neutral
23,"रोज़गार और विकास की तरह केंद्र सरकार कोरोना का असली डेटा भी जनता तक नहीं पहुँचने दे रही।

महामारी ना सही, महामारी का सच तो नियंत्रण में कर ही लिया!",0.0,0.0,Neutral
24,"चर्चा बहुत हो चुकी। 

देशवासियों को वैक्सीन मुफ़्त मिलनी चाहिए- बात ख़त्म।

मत बनाओ भारत को भाजपा system का victim!",0.05,-0.09375000000000001,Negative
25,"Shroud the truth
Deny oxygen shortage
Underreport deaths

GOI is doing everything... 

...to save his fake image! https://t.co/AfizkPPGGG",1.0,-0.625,Negative
26,"‘System’ failed, so it’s important to do Jan ki baat:

In this crisis, the country needs responsible citizens. I request my Congress colleagues to leave all political work- just provide all help and ease the pain of our countrymen.

This is the Dharma of the Congress family.",0.48750000000000004,0.02500000000000001,Positive
27,"‘सिस्टम’ फ़ेल है इसलिए ये जनहित की बात करना ज़रूरी है:

इस संकट में देश को ज़िम्मेदार नागरिकों की ज़रूरत है। अपने कांग्रेस साथियों से मेरा अनुरोध है कि सारे राजनैतिक काम छोड़कर सिर्फ़ जन सहायता करें, हर तरह से देशवासियों का दुख दूर करें। 

कांग्रेस परिवार का यही धर्म है।",0.0,0.0,Neutral
28,आप सभी को महावीर जयंती की शुभकामनाएँ। https://t.co/Nch400xsLP,0.0,0.0,Neutral
29,"India needs #vaccine, Mr. Lying Machine! https://t.co/SbUWyLMIL5",0.0,0.0,Neutral
30,"सद्भाव से केंद्र सरकार से अपील है कि PR व अनावश्यक प्रॉजेक्ट पर खर्च करने की बजाए वैक्सीन, ऑक्सीजन व अन्य स्वास्थ्य सेवाओं पर ध्यान दें।

आने वाले दिनों में ये संकट और भी गहरायेगा। इससे निबटने के लिए देश को तैयार करना होगा।

वर्तमान दुर्दशा असहनीय है!",0.0,0.0,Neutral
31,"COVID crisis
No Tests
No Vaccine
No Oxygen
No ICU...

Priorities! https://t.co/pYG8giK5R6",0.0,0.0,Neutral
32,"Corona can cause a fall in oxygen level but it’s #OxygenShortage &amp; lack of ICU beds which is causing many deaths.

GOI, this is on you.",0.5,0.5,Positive
33,"‘ग़रीब’ सिर्फ़ नम्बर नहीं हैं- जीते जागते लोग हैं, सैकड़ों मजबूर परिवार हैं।

मध्यवर्ग को कुचलकर ग़रीब वर्ग में पहुँचाया,
भाजपा सरकार ने विनाश करके दिखाया। https://t.co/jBReHpsRqQ",0.0,0.0,Neutral
34,"घर पर क्वॉरंटीन हूँ और लगातार दुखद समाचार आ रहे हैं।

भारत में संकट सिर्फ़ कोरोना नहीं, केंद्र सरकार की जन विरोधी नीतियाँ हैं।

झूठे उत्सव व खोखले भाषण नहीं, देश को समाधान दो!",0.0,0.0,Neutral
35,"India still has no Covid strategy. 

Exporting oxygen &amp; vaccines when our own people are dying is nothing short of a crime.",0.65,0.3,Positive
36,"The news of patients’ death at Nashik’s Zakhir Hussain Hospital is extremely tragic.

My heartfelt condolences to the aggrieved families. 

I appeal to State Govt and party workers to provide all possible assistance.",0.9166666666666666,-0.25,Negative
37,"आपदा देश की
अवसर मोदी मित्रों का
अन्याय केंद्र सरकार का!

#VaccineDiscrimination https://t.co/oOTC77AmkB",0.0,0.0,Neutral
38,"केंद्र सरकार की वैक्सीन रणनीति नोटबंदी से कम नहीं- 

* आम जन लाइनों में लगेंगे
* धन, स्वास्थ्य व जान का नुक़सान झेलेंगे 
* और अंत में सिर्फ़ कुछ उद्योगपतियों का फ़ायदा होगा।",0.0,0.0,Neutral
39,आप सभी को राम नवमी की हार्दिक शुभकामनाएँ!,0.0,0.0,Neutral
40,"India is gasping for #Oxygen.

Thanks to GOI’s incompetency &amp; complacency.",0.2,0.2,Positive
41,"After experiencing mild symptoms, I’ve just tested positive for COVID. 

All those who’ve been in contact with me recently, please follow all safety protocols and stay safe.",0.44886363636363635,0.26515151515151514,Positive
42,"• No free vaccines for 18-45 yr olds. 

• Middlemen brought in without price controls. 

• No vaccine guarantee for weaker sections. 

GOI’s Vaccine Discrimination- Not Distribution- Strategy!",0.8,-0.25,Negative
43,"प्रवासी एक बार फिर पलायन कर रहे हैं। ऐसे में केंद्र सरकार की ज़िम्मेदारी है कि उनके बैंक खातों में रुपय डाले।

लेकिन कोरोना फैलाने के लिए जनता को दोष देने वाली सरकार क्या ऐसा जन सहायक क़दम उठाएगी?

#Lockdown",0.0,0.0,Neutral
44,"Dear Dr. Manmohan Singh Ji, 

Wishing you a speedy recovery. 
India needs your guidance and advice in this difficult time.",1.0,-0.5,Negative
45,"GOI, you are utterly ungrateful. https://t.co/bXQd7tp7d9",1.0,0.0,Neutral
46,"Chinese occupation of Gogra-Hot Springs &amp; Depsang plains is a direct threat to India’s strategic interests including the DBO airstrip. 

National security massively jeopardised by GOI’s wasteful talks. 

Our nation deserves better.",0.475,0.15,Positive
47,"कोविड संकट को देखते हुए, मैंने पश्चिम बंगाल की अपनी सभी रैलियाँ रद्द करने का निर्णय लिया है। 

राजनैतिक दलों को सोचना चाहिए कि ऐसे समय में इन रैलियों से जनता व देश को कितना ख़तरा है।",0.0,0.0,Neutral
48,"In view of the Covid situation, I am suspending all my public rallies in West Bengal. 

I would advise all political leaders to think deeply about the consequences of holding large public rallies under the current circumstances.",0.24365079365079367,0.03571428571428571,Positive
49,"बीमारों और मृतकों की भी इतनी भीड़ पहली बार देखी है।

#rallies",0.0,0.0,Neutral
50,"रायपुर में अस्पताल के ICU में आग लगने की ख़बर दुखद है।
अपने प्रियजनों को खोने वाले परिवारों को मेरी संवेदनाएँ।

राज्य सरकार से अपील है कि शोकग्रस्त परिवारों को इस कठिन समय में सभी सहायता दी जायें।",0.0,0.0,Neutral
51,"We need humility, a clear vaccine strategy &amp; income support to contain this virus and related damage. 

GOI’s mix of arrogance and suppression of the truth is killing lakhs of people. https://t.co/nrLwtwQw0w",0.39166666666666666,0.05000000000000001,Positive
52,"शमशान और क़ब्रिस्तान दोनों... जो कहा सो किया।

#ModiMadeDisaster",0.0,0.0,Neutral
53,"केंद्र सरकार की कोविड रणनीति-

स्टेज 1- तुग़लक़ी लॉकडाउन लगाओ।

स्टेज 2- घंटी बजाओ।

स्टेज 3- प्रभु के गुण गाओ।",0.0,0.0,Neutral
54,"ना टेस्ट हैं, ना हॉस्पिटल में बेड,
ना वेंटिलेटर हैं, ना ऑक्सीजन,
वैक्सीन भी नहीं है, 
बस एक उत्सव का ढोंग है।

PMCares?",0.0,0.0,Neutral
55,"प्रधानमंत्री कम, ख़ुद के प्रचारमंत्री ज़्यादा!

#Election2021 https://t.co/ueKxpNMJLe",0.0,0.0,Neutral
56,"“First they ignore you
then they laugh at you 
then they fight you,
then you win.”

#vaccine https://t.co/FvfmTjJ7bl",0.2777777777777778,0.45,Positive
57,"Greetings on the occasion of Vishu. Hope the new year brings new prospects, better health and peaceful times. https://t.co/ZEZbhQPo3F",0.4772727272727273,0.2556818181818182,Positive
58,"India is now proving that it is indeed possible to regress in time. 

Today, we remember Babasaheb who asked the difficult questions that helped put our country on the path of progress.

#AmbedkarJayanti https://t.co/D2Qf8Av1jG",1.0,-0.25,Negative
59,"आप सभी को रमज़ान मुबारक! 

देशभर में अच्छी सेहत, अमन और ख़ुशहाली हो। https://t.co/xANKsfKy25",0.0,0.0,Neutral
60,"देश के कोने-कोने में इन दिनों हर धर्म, मज़हब, जाति के त्योहार हैं। आशा है कि ये नववर्ष सबको स्वास्थ्य और सुरक्षा दे।

उगादी, गुड़ी पड़वा, बैसाखी, नौरोज़ और नवरात्रि शुभ हों! https://t.co/U5cwzwpLro",0.0,0.0,Neutral
61,"एक सीधा-सा लेटर,
उसमें जन की बात...
विपक्ष के सुझाव अच्छे हैं! 

#SputnikV",0.0,0.0,Neutral
62,"385 दिन में भी कोरोना से लड़ाई नहीं जीत पाए- उत्सव, ताली-थाली बहुत हो चुके अब देश को वैक्सीन दो! 

#SpeakUpForVaccinesForAll https://t.co/YkIb3yDTGO",0.0,0.0,Neutral
63,"कोरोना वैक्सीन देश की ज़रूरत है।

आप भी इसके लिए अपनी आवाज़ बुलंद कीजिए- सबको हक़ है सुरक्षित जीवन का।

#SpeakUpForVaccinesForAll https://t.co/qcxFZuzR2x",0.0,0.0,Neutral
64,"In the light of the devastating Corona second wave, conducting #CBSE exams must be reconsidered. All stakeholders must be consulted before making sweeping decisions. 

On how many counts does GOI intend to play with the future of India’s youth?",0.465,-0.019999999999999997,Negative
65,"ना कोरोना पे क़ाबू,
ना पर्याप्त वैक्सीन, 
ना रोज़गार, 
ना किसान-मज़दूर की सुनवाई,
ना MSME सुरक्षित, 
ना मध्यवर्ग संतुष्ट... 

आम खाना ठीक था, आम जन को तो छोड़ देते!",0.0,0.0,Neutral
66,"What India needs?

- Jobs &amp; Jabs. 

What BJP Govt gives?

- Jumlas &amp; Jibes.",0.0,0.0,Neutral
67,"केंद्र सरकार की फ़ेल नीतियों से देश में कोरोना की भयानक दूसरी लहर है और प्रवासी मज़दूर दोबारा पलायन को मजबूर हैं।

टीकाकरण बढ़ाने के साथ ही इनके हाथ में रुपय देना आवश्यक है- आम जन के जीवन व देश की अर्थव्यवस्था दोनों के लिए।

लेकिन अहंकारी सरकार को अच्छे सुझावों से ऐलर्जी है!",0.0,0.0,Neutral
68,"Heartfelt condolences to Her Majesty The Queen, her family and the people of Britain on the passing of His Royal Highness The Prince Philip, Duke of Edinburgh.",1.0,0.0,Neutral
69,"Dear students,

PM said answer questions without fear &amp; nervousness. Please ask him to do the same:

1. Who took money in the #Rafale corruption scandal?  
2. Who deleted the anti-corruption clauses in the contract? 
3. Who gave middlemen access to key Defence Ministry documents?",0.5625,0.0,Neutral
70,"50 years ago, NSUI was founded to fight for students’ rights. 

Today, when students are being targeted and academic freedom curbed, NSUI must play an even bigger role in raising voice against such injustices. 

More power to you!

#NSUI51stFoundationDay",0.375,0.15625,Positive
71,"बढ़ते कोरोना संकट में वैक्सीन की कमी एक अतिगंभीर समस्या है, ‘उत्सव’ नहीं-
अपने देशवासियों को ख़तरे में डालकर वैक्सीन एक्सपोर्ट क्या सही है?

केंद्र सरकार सभी राज्यों को बिना पक्षपात के मदद करे। 

हम सबको मिलकर इस महामारी को हराना होगा।",0.0,0.0,Neutral
72,"केंद्र सरकार की टैक्स वसूली के कारण गाड़ी में तेल भराना किसी इम्तहान से कम नहीं, फिर PM इस पर चर्चा क्यूँ नहीं करते?

खर्चा पे भी हो चर्चा! https://t.co/jUJPERrp15",0.0,0.0,Neutral
73,"कोरोना नियमों को लागू करने की आड़ में इस तरह की शर्मनाक अमानवीयता देश को स्वीकार नहीं! 

सुरक्षा करने वाले पुलिसकर्मी ही अत्याचार करें तो जनता कहाँ जाये?

#Indore https://t.co/t3Ifv0ajJ0",0.0,0.0,Neutral
74,"It’s ridiculous to debate needs &amp; wants.

Every Indian deserves the chance to a safe life. 

#CovidVaccine",0.5333333333333333,0.12222222222222223,Positive
75,"अशोक आहूजा जी के निधन का समाचार दुखद है। एक सच्चे कांग्रेसी होने के साथ ही वे हमारे परिवार के एक निष्ठावान शुभचिंतक भी थे।

उनके परिवारजनों व मित्रों को शोक संवेदनाएँ। मेरी प्रार्थना है कि वे इस दुख को सहन करने की हिम्मत जुटा सकें।",0.0,0.0,Neutral
76,"कर्म- किये कराये का बही खाता।

इससे कोई नहीं बच सकता।

#Rafale",0.0,0.0,Neutral
77,"Karma = The ledger of one's actions.

Nobody escapes it.

#Rafale",0.0,0.0,Neutral
78,"Do cast your votes today- India is counting on you. 

#Elections2021",0.0,0.0,Neutral
79,"No Indian jawan should face an enemy without body armour in the 21st century. 

It needs to be made available to every soldier.",0.2,0.2,Positive
80,"If there was no intelligence failure then a 1:1 death ratio means it was a poorly designed and incompetently executed operation.

Our Jawans are not cannon fodder to be martyred at will. https://t.co/JDgVc03QvD",0.4444444444444444,-0.37222222222222223,Negative
81,"My condolences to the families of the martyrs who sacrificed their lives in combat in Chhattisgarh. 

Decisive action needs to be taken to locate &amp; rescue the missing Jawans. 
I appeal to the State Govt to ensure best care for a speedy recovery of the injured.",0.15,0.3,Positive
82,Celebrating hope and new beginnings- Happy Easter! https://t.co/bDS9qaySAG,0.7272727272727273,0.5681818181818181,Positive
83,Election “Commission”.,0.0,0.0,Neutral
84,"उनका संघ हमला करना सिखाता है,
अहिंसक सत्याग्रह किसान को निडर बनाता है।

संघ का सामना संग मिलकर करेंगे- तीनों कृषि व देश विरोधी क़ानून वापस कराके ही दम लेंगे!

#FarmersProtest",0.0,0.0,Neutral
85,LIVE: My interaction with Ambassador Nicholas Burns from Harvard Kennedy School. https://t.co/KZUkRnLlDg,0.5,0.13636363636363635,Positive
86,Raiding the opposition is BJP’s coping mechanism when facing electoral defeat.,0.0,0.0,Neutral
87,"EC की गाड़ी ख़राब, 
भाजपा की नीयत ख़राब,
लोकतंत्र की हालत ख़राब!

#EVMs",0.0,0.0,Neutral
88,"Let this Good Friday be a reminder of the power of compassion, love and empathy. https://t.co/KwtIOEE6HF",0.6000000000000001,0.6,Positive
89,संघ की मानसिकता के अनुसार केंद्र सरकार महिलाओं को अशक्त करने में लगी है- ये भारत के लिए बहुत ख़तरनाक है। https://t.co/w3sknXcEfr,0.0,0.0,Neutral
90,"पेट्रोल-डीज़ल पर तो पहले से ही लूट थी, चुनाव ख़त्म होते ही मध्यवर्ग की बचत पर फिर से ब्याज कम करके लूट की जाएगी।

जुमलों की झूठ की
ये सरकार जनता से लूट की!

#Oversight",0.0,0.0,Neutral
91,"असम, सम्मान व प्रगति के लिए इस संघर्ष में हम आपके साथ हैं। https://t.co/gtimaMDeHU",0.0,0.0,Neutral
92,"आज ख़राब मौसम की वजह से आप सब के बीच नहीं पहुँच पाया लेकिन मेरा और महाजोत का संदेश साफ़ है- असम को 5 गैरंटी से उन्नति और समृद्धि की राह पर आगे बढ़ाएँगे।

इस उद्देश्य के लिए आप महाजोत को भारी मतों का समर्थन दें।

#Elections2021 https://t.co/A9b2zRdZtT",0.0,0.0,Neutral
93,"चाय बाग़ान मज़दूरों समेत करोड़ों दिहाड़ी मज़दूरों के आँसू पोंछने के लिए केंद्र सरकार ने क्या किया?

जुमलों और प्रगति का आपस में कोई सम्बंध नहीं है- जनता ये समझ गयी है।",0.0,0.0,Neutral
94,"हमारे देश की विविधताओं के सभी रंगों के त्यौहार होली की आप सभी को हार्दिक शुभकामनाएँ!

कोरोना गाइडलाइंस का पालन करें- सुरक्षित रहें। https://t.co/QFdWk8ps9L",0.0,0.0,Neutral
95,"This is more than an election- it’s the fight to save Tamil culture, history and interests. 

Thank you, Tamil Nadu for your encouragement &amp; support.

#Elections2021 https://t.co/JwRRixQ8Co",0.5,0.5,Positive
96,"चुनाव के कारण केंद्र सरकार ने पेट्रोल-डीज़ल 17/18 पैसे प्रति लीटर सस्ता किया है।

बचत की इस धनराशि से आप क्या-क्या करेंगे? 

#FuelLootByBJP",0.0,0.0,Neutral
97,"India’s inherent pluralism is under attack by the RSS-BJP which has blocked all socio-economic progress. 

We have to rid our country of this divisive hurdle.

#Elections2021 https://t.co/sZ5sotbWka",0.0,0.0,Neutral
98,"लोकतंत्र मज़बूत करने के लिए बाँटने वाली ताक़तों के विरुद्ध अपना वोट ज़रूर डालें।

जय हिंद!",0.0,0.0,Neutral
99,"Not just an election campaign- this is a UDF Correction Campaign to correct the wrongs done by LDF. 

#Kerala pivot for change.",0.0,0.0,Neutral
